Date,Open,High,Low,Close,Adj Close,Volume
2017-01-02,35980.0,36240.0,35880.0,36100.0,30247.4296875,4650600
2017-01-03,36280.0,36620.0,36020.0,36480.0,30565.8203125,7357650
2017-01-04,36500.0,36520.0,36100.0,36160.0,30297.708984375,7971750
2017-01-05,36060.0,36060.0,35540.0,35560.0,29794.96875,10967450
2017-01-06,36180.0,36440.0,36040.0,36200.0,30331.220703125,8880950
2017-01-09,36600.0,37500.0,36560.0,37220.0,31185.859375,13194900
2017-01-10,37280.0,37400.0,37080.0,37240.0,31202.607421875,9099800
2017-01-11,37520.0,38560.0,37420.0,38280.0,32074.0078125,12018150
2017-01-12,38000.0,38800.0,37980.0,38800.0,32509.697265625,11669150
2017-01-13,38100.0,38320.0,37460.0,37460.0,31386.9453125,15954450
2017-01-16,36860.0,37820.0,36320.0,36660.0,30716.640625,16611500
2017-01-17,36580.0,37460.0,36580.0,36960.0,30968.0078125,8150700
2017-01-18,37040.0,37500.0,36620.0,36940.0,30951.251953125,8875400
2017-01-19,37720.0,37920.0,37020.0,37480.0,31403.697265625,9418900
2017-01-20,37120.0,37420.0,36880.0,37200.0,31169.091796875,9185000
2017-01-23,37200.0,38060.0,37000.0,38060.0,31889.671875,8810400
2017-01-24,38120.0,38580.0,37880.0,38160.0,31973.453125,11048750
2017-01-25,38340.0,39400.0,38320.0,39400.0,33012.41796875,13433850
2017-01-26,39420.0,40000.0,39420.0,39900.0,33431.3671875,15214500
2017-01-31,39900.0,39900.0,39460.0,39460.0,33062.6953125,17992200
2017-02-01,39540.0,39660.0,39040.0,39120.0,32777.8203125,14150400
2017-02-02,39600.0,39660.0,39200.0,39360.0,32978.9140625,15029300
2017-02-03,39400.0,39500.0,39180.0,39460.0,33062.6953125,10386350
2017-02-06,39580.0,39660.0,39140.0,39560.0,33146.48828125,8860700
2017-02-07,39560.0,39580.0,38760.0,38820.0,32526.458984375,14041800
2017-02-08,38740.0,38780.0,38200.0,38400.0,32174.544921875,17092950
2017-02-09,38780.0,38840.0,38220.0,38400.0,32174.544921875,13694150
2017-02-10,38400.0,38760.0,38300.0,38360.0,32141.029296875,11020750
2017-02-13,37740.0,38060.0,37720.0,37960.0,31805.876953125,11102050
2017-02-14,37960.0,38260.0,37320.0,37580.0,31487.48828125,13124150
2017-02-15,37080.0,37960.0,37080.0,37720.0,31604.78125,14191550
2017-02-16,37800.0,38360.0,37780.0,38020.0,31856.15234375,10226350
2017-02-17,37560.0,38040.0,37280.0,37860.0,31722.095703125,15377450
2017-02-20,38220.0,38780.0,38160.0,38660.0,32392.390625,7485800
2017-02-21,38540.0,39560.0,38420.0,38940.0,32626.998046875,10562600
2017-02-22,39000.0,39340.0,38980.0,39300.0,32928.640625,8539450
2017-02-23,39020.0,39440.0,39020.0,39180.0,32828.09375,10217300
2017-02-24,38960.0,39100.0,38060.0,38220.0,32023.732421875,9296850
2017-02-27,38020.0,38140.0,37700.0,38060.0,31889.671875,9033700
2017-02-28,38060.0,38760.0,37960.0,38440.0,32208.060546875,15088700
2017-03-02,38420.0,39860.0,38420.0,39720.0,33280.546875,21249800
2017-03-03,39340.0,39720.0,39160.0,39620.0,33196.7578125,12708700
2017-03-06,39220.0,40220.0,39220.0,40080.0,33582.18359375,12234850
2017-03-07,39800.0,40320.0,39800.0,40200.0,33682.73046875,10553250
2017-03-08,40200.0,40620.0,40140.0,40200.0,33682.73046875,12140950
2017-03-09,40200.0,40300.0,40020.0,40200.0,33682.73046875,14372250
2017-03-10,39960.0,40420.0,39860.0,40180.0,33665.97265625,10227800
2017-03-13,40040.0,40980.0,40040.0,40600.0,34017.87890625,7424100
2017-03-14,40620.0,41540.0,40500.0,41360.0,34654.6640625,11325050
2017-03-15,40800.0,41440.0,40800.0,41400.0,34688.18359375,9587850
2017-03-16,41800.0,42180.0,41540.0,41840.0,35056.8515625,9933150
2017-03-17,41800.0,42500.0,41720.0,42400.0,35526.06640625,12602300
2017-03-20,42000.0,42120.0,41740.0,41900.0,35107.12109375,10250050
2017-03-21,41780.0,42680.0,41760.0,42560.0,35660.1328125,14220150
2017-03-22,41600.0,42460.0,41580.0,42460.0,35576.328125,16427250
2017-03-23,42200.0,42360.0,41700.0,41800.0,35023.33984375,15397100
2017-03-24,41600.0,41980.0,41080.0,41500.0,34771.96875,12808150
2017-03-27,41200.0,41880.0,41180.0,41200.0,34520.609375,12177650
2017-03-28,41560.0,41840.0,41380.0,41480.0,34755.21875,8216250
2017-03-29,41740.0,41960.0,41580.0,41780.0,35006.58203125,10093250
2017-03-30,41880.0,42440.0,41880.0,41980.0,35292.41796875,8204000
2017-03-31,41820.0,42020.0,41200.0,41200.0,34636.67578125,10500300
2017-04-03,41400.0,41720.0,41300.0,41440.0,34838.4375,9579400
2017-04-04,41600.0,42180.0,41520.0,42080.0,35376.4765625,12255500
2017-04-05,41900.0,42240.0,41700.0,42140.0,35426.9296875,10699700
2017-04-06,42000.0,42080.0,41600.0,41840.0,35174.71875,9683400
2017-04-07,41800.0,41820.0,41160.0,41600.0,34972.9453125,10021000
2017-04-10,41940.0,41940.0,41500.0,41940.0,35258.78515625,7141350
2017-04-11,41940.0,41940.0,41580.0,41600.0,34972.9453125,7172900
2017-04-12,41860.0,41940.0,41700.0,41900.0,35225.15625,8274900
